movieId,title,overview,genres,keywords,releaseDate,voteAverage,voteCount,posterPath,director,runtime,cast
12110,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","[35, 27]","dracula, spoof",1995-12-22,5.7,210.0,/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,Mel Brooks,88,"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony"
21032,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","[10751, 16, 12]","wolf, dog-sledding race, alaska, dog, goose, bear attack, dog sled, frozen lake",1995-12-22,7.1,423.0,/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Simon Wells,78,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins"
10858,Nixon,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","[36, 18]","usa president, presidential election, watergate scandal, biography, government, historical figure",1995-12-22,7.1,72.0,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,Oliver Stone,192,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins"
1408,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","[28, 12]","exotic island, treasure, map, ship, scalp, pirate",1995-12-22,5.7,137.0,/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,Renny Harlin,119,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide"
524,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"[18, 80]","poker, drug abuse, 1970s, overdose, illegal prostitution",1995-11-22,7.8,1343.0,/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,Martin Scorsese,178,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles"
4584,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","[18, 10749]","bowling, based on novel, servant, country life, jane austen, inheritance, military officer, period drama, rainstorm, horse and carriage, decorum",1995-12-13,7.2,364.0,/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,Ang Lee,136,"Kate Winslet, Emma Thompson, Hugh Grant, Tom Wilkinson, Alan Rickman"
5,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"[80, 35]","hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film",1995-12-09,6.5,539.0,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,Allison Anders,98,"Tim Roth, Antonio Banderas, Jennifer Beals, Madonna, Marisa Tomei"
9273,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","[80, 35, 12]","africa, indigenous, human animal relationship, bat",1995-11-10,6.1,1128.0,/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,Steve Oedekerk,90,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton"
11517,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","[28, 35, 80]","brother brother relationship, subway, new york city, new york subway, train robbery",1995-11-21,5.4,224.0,/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,Joseph Ruben,103,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper"
8012,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[35, 53, 80]","gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con",1995-10-20,6.4,305.0,/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,Barry Sonnenfeld,105,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina"
1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"[18, 53]","police brutality, psychology, police operation, police protection, serial killer, psychologist, cowardliness",1995-10-27,6.5,199.0,/oMgwJb016znNZcpDR20eXxZoW8A.jpg,Jon Amiel,124,"Sigourney Weaver, Holly Hunter, Will Patton, William McNamara, Harry Connick Jr."
9691,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","[28, 12, 80, 53]","competition, assassination, cia, bank, cat, mexican standoff, seattle, hitman, mission of murder, hidden camera, rivalry, rescue, shootout, police chase, sniper rifle, silencer, double cross, caribbean, detroit michigan",1995-10-06,6.0,394.0,/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,Richard Donner,132,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson"
12665,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","[18, 14, 878, 53]","dead animal, shot to death, teenage boy, held at gunpoint, teacher student relationship, albino, fainting, jacobs ladder, christ allegory, psionic power, healing power, looking pale, flickering light, extrasensory perception",1995-10-27,6.3,143.0,/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,Victor Salva,111,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith"
451,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[18, 10749]","individual, prostitute, alcohol, casino, love at first sight, lovesickness, film producer, screenwriter, hotel room, dying and death, rage and hate, unsociability, alcoholism, los angeles, alcohol abuse, attempted suicide",1995-10-27,7.1,365.0,/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg,Mike Figgis,112,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber"
16420,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,[18],"shakespeare, jealousy, friends, moor",1995-12-15,7.0,33.0,/kyevuYzW36wKadiE8lftLac5VwQ.jpg,Oliver Parker,123,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Indra Ové"
9263,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","[35, 18, 10751]","1970s, female friendship, coming of age, gynecologist, photocopier, truth or dare, woman director",1995-10-20,6.6,91.0,/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,Lesli Linka Glatter,100,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann"
17015,Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","[18, 10749]","captain, napoleonic wars, old flame, admiral",1995-09-27,7.4,36.0,/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,Roger Michell,104,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw, John Woodvine"
902,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","[14, 878, 12]","clone, dream, island, eye, dystopia, aging, friendship, rescue, children, girl, childhood",1995-05-16,7.6,308.0,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,Jean-Pierre Jeunet,108,"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus"
37557,Shanghai Triad,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,"[18, 80]","servant, cabaret, shanghai, diva, uncle, mistress, umbrella",1995-04-30,6.5,17.0,/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,Zhang Yimou,108,"Gong Li, Li Bao-Tian, Wang Xiaoxiao, Li Xuejian, Chun Sung"
9909,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","[18, 80]","rap music, karate, high school, naval officer, teacher, amusement park",1995-08-11,6.4,249.0,/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,John N. Smith,99,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, John Neville"
63,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[878, 53, 9648]","schizophrenia, philadelphia, cassandra syndrom, stockholm syndrome, time travel, post-apocalyptic, dystopia, lethal virus, monkey, subterranean",1995-12-29,7.4,2470.0,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,Terry Gilliam,129,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse"
9598,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[14, 18, 35, 10751]","sheep, pig, affection, piglet, heroism, talking animal, separation, german shepherd, grandson, talking pig",1995-07-18,6.0,756.0,/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,Chris Noonan,89,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn"
47018,Carrington,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","[36, 18, 10749]","england, painter, conscientious objector, independent film, soldier",1995-11-08,6.4,16.0,/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,Christopher Hampton,121,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West, Rufus Sewell"
687,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,[18],"prison, rape, socially deprived family, penalty, death penalty, despair, death row, begnadigung, therapist, self-discovery, prison cell, court case, death sentence, doomed man, sentence, lethal injection, forgiveness, charity, mercy petition, rage and hate, unsociability, right and justice, court, electric chair, cowardliness",1995-12-29,7.3,350.0,/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,Tim Robbins,122,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey"
33689,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","[35, 10751, 10749]","orphan, identical twin",1995-11-17,6.1,149.0,/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,Andy Tennant,101,"Kirstie Alley, Steve Guttenberg, Ashley Olsen, Mary-Kate Olsen, Jane Sibbett"
9603,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","[35, 18, 10749]","puberty, high school, make a match, spoiled child, gay interest, conflict, woman director",1995-07-19,6.9,828.0,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,Amy Heckerling,97,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison"
34615,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,[18],south africa,1995-12-15,6.7,13.0,/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,Darrell James Roodt,106,"James Earl Jones, Charles S. Dutton, Jack Robinson, Tsholofelo Wechoemang, Ramalao Makhene"
31174,Richard III,Shakespeare's Play transplanted into a 1930s setting.,"[18, 10752]","england, shakespeare, kidnapping, murder, king",1995-12-29,6.9,50.0,/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,Richard Loncraine,104,"Ian McKellen, Annette Bening, Jim Broadbent, Kristin Scott Thomas, Adrian Dunbar"
11443,Dead Presidents,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","[28, 80, 18, 36]","money, loss of virginity, hiding in a dumpster, mercy killing, armored truck, crushed by a car",1995-10-06,6.6,80.0,/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,Albert Hughes,119,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson"
35196,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","[18, 10749]","jealousy, medicine, fountain, court, wealth, spaniel, gloves",1995-12-29,6.3,30.0,/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,Michael Hoffman,117,"Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis, Hugh Grant"
9312,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[28, 14]","martial arts, monster, island, gore, sorcerer, tournament, violence, based on video game, hand to hand combat",1995-08-18,5.4,452.0,/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,Paul W.S. Anderson,101,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson"
577,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","[14, 18, 35, 53]","adultery, winter, obsession, television, new hampshire, narcissistic personality disorder",1995-05-20,6.7,177.0,/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,Gus Van Sant,106,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas"
11861,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","[18, 10749]","wedding vows, marriage proposal, married couple, monogamy, advice, marriage, quilt, love, family holiday, extramarital affair, grandmother, woman director",1995-10-06,6.5,38.0,/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,Jocelyn Moorhouse,116,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons"
807,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","[80, 9648, 53]","self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer",1995-09-22,8.1,5915.0,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,David Fincher,127,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey"
10530,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","[12, 16, 18, 10751]","culture clash, settler, forbidden love, colony, musical, gold rush, princess, romance, native american, animation, virginia, star crossed lovers, reference to pizarro, jamestown virginia, pug dog, cross cultural relationship, musket, animate tree, indian chief, based on myths or folklore, 17th century, shamanism, songs, indians vs. settlers, animal sidekick, powhatan, land claim",1995-06-14,6.7,1509.0,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,Mike Gabriel,81,"Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Russell Means"
8391,When Night Is Falling,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.","[18, 10749]","professor, lgbt, woman director",1995-05-05,5.9,10.0,/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,Patricia Rozema,96,"Pascale Bussières, Rachael Crawford, Henry Czerny, Don McKellar"
629,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","[18, 80, 53]","law, relatives, theft, criminal, criminal mastermind, hungarian, sibling",1995-07-19,8.1,3334.0,/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,Bryan Singer,106,"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite"
11448,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","[35, 10749]","prostitute, adoption, adoptive father, childlessness, looking for  birth parents, adoptive mother, independent film, illegal prostitution, child",1995-09-13,6.7,145.0,/ice135yQZp4iX2SgCmd90nKgS5j.jpg,Woody Allen,95,"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham, Donald Symington"
49133,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.","[18, 10769]",independent film,1994-01-01,7.7,11.0,/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,Gianni Amelio,116,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Marjeta Ljarja"
26441,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","[28, 12, 35, 10751]","sport, kids and family, soccer, woman director",1995-09-29,5.2,41.0,/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,Holly Goldberg Sloan,100,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry, Bug Hall"
97406,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",[18],"alcohol, artist, music, drug, band",1995-05-19,6.1,15.0,/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,Ulu Grosbard,115,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich, John Doe"
